ds,yhat,yhat_lower,yhat_upper
2019-06-12,3067.676094679104,1247.5198435334773,4892.878342810719
2019-06-13,3192.132893299811,1369.0083415008473,5029.001767621318
2019-06-14,3082.6898080382093,1351.5844296276232,4990.921509644526
2019-06-15,4020.62593594687,2094.800128963382,5942.34514463
2019-06-16,3399.8095587272715,1529.0544776231943,5281.398161445195
2019-06-17,2853.299464661307,1135.6669524850547,4692.042543052708
2019-06-18,3646.421223686493,1952.5503266531687,5652.007419485874
2019-06-19,3050.245470013673,1227.1994589793633,4957.022087973317
2019-06-20,3174.702268634691,1259.288979335735,5048.098263032937
2019-06-21,3065.259183372041,1180.857055024131,4932.420579435851
2019-06-22,4003.1953112830424,2155.524310147066,5924.246161738019
2019-06-23,3382.3789340595554,1483.6838120136172,5265.223331143024
2019-06-24,2835.8688399955113,911.901253383928,4709.5006279978
2019-06-25,3628.990599020304,1710.4412298752854,5488.32629863148
2019-06-26,3032.814845348313,1085.8064131795916,4982.78095817178
2019-06-27,3157.2716439687924,1267.763130218548,5011.467184619003
2019-06-28,3047.8285587058735,1029.0888196936096,4957.644862372767
2019-06-29,3985.7646866171867,2173.7059594518523,5961.0480281200835
2019-06-30,3364.9483093918393,1504.0411942943342,5328.410497730523
2019-07-01,2818.4382153317206,977.051547649303,4691.156007789296
2019-07-02,3611.5599743546636,1681.7594167353257,5549.166186280897
2019-07-03,3015.384220682882,1085.2309741384818,4926.639484026479
2019-07-04,3139.8410193036725,1147.8331490615328,4997.801913459822
2019-07-05,3030.3979340413757,1187.9464001146705,5000.096988710172
2019-07-06,3968.3340619533587,2045.5385765090996,5836.003735646151
2019-07-07,3347.5176847301427,1491.5014289078963,5336.294265694633
2019-07-08,2801.007590663679,838.0235542124158,4671.647399647925
2019-07-09,3594.1293496898497,1727.6671058129905,5426.919246204224
2019-07-10,2997.9535960169796,1124.6519018821616,4872.095633150279
2019-07-11,3122.4103946385526,1213.8297475236209,4883.629902366043
2019-07-12,3012.9673093737915,1208.2488984384995,4819.122035991536
2019-07-13,3950.9034372874125,2037.1171539351421,5820.240370314146
2019-07-14,3330.0870600624266,1407.778816045172,5076.709462560915
2019-07-15,2783.576965997642,987.1983415923343,4608.526243427268
2019-07-16,3576.6987250250368,1485.3851585104794,5498.820205281585
2019-07-17,2980.522971351549,1040.9652279030443,4800.979458675136
2019-07-18,3104.9797699726537,1277.3059389975574,5068.396485884529
2019-07-19,2995.53668471071,1158.1218696111982,4854.795605592636
2019-07-20,3933.472812621557,2178.3085901903705,5792.183815020869
2019-07-21,3312.6564353969484,1325.7802258390057,5204.285565874449
2019-07-22,2766.1463413318465,841.3140443521656,4559.092090000455
2019-07-23,3559.2681003580215,1724.0943993345031,5526.256009886956
2019-07-24,2963.0923466866598,1116.424012623047,4762.884177027912
2019-07-25,3087.549145307804,1173.6317512886146,5074.614370662026
2019-07-26,2978.1060600447954,1064.6093536448568,4739.0737639206345
2019-07-27,3916.042187955701,2005.5250166278145,5836.1898985486105
2019-07-28,3295.2258107292323,1418.4484960920986,5249.340814364831
2019-07-29,2748.7157166678144,824.4344011868484,4425.7327860792075
2019-07-30,3541.837475694582,1686.2999943052876,5419.31115970121
2019-07-31,2945.661722020758,996.4853029072046,4745.38627019297
2019-08-01,3070.118520641635,1303.4652063640508,5074.259864701382
2019-08-02,2960.675435380297,1162.38056940445,4859.420482758982
2019-08-03,3898.611563291783,2048.456997162056,5788.788372034846
2019-08-04,3277.795186065298,1384.8311790648113,5293.80200263994
2019-08-05,2731.2850920040228,860.1639553029955,4713.752240559115
2019-08-06,3524.4068510283937,1662.6754581482453,5324.84663720832
2019-08-07,2928.2310973548556,1042.2853514152448,4741.544608102289
2019-08-08,3052.687895976786,1116.4201586446711,4948.79475021844
2019-08-09,2943.244810712712,1123.7613778501752,4888.281028696329
2019-08-10,3881.1809386238992,1902.4989038171127,5809.326445361955
2019-08-11,3260.364561403602,1378.3722061960298,5091.560818002053
2019-08-12,2713.8544673362226,913.6668026298623,4505.771837351827
2019-08-13,3506.97622636358,1596.3974269994635,5529.3166903512365
2019-08-14,2910.8004726904383,937.5095005594752,4925.269268706057
2019-08-15,3035.2572713111413,1228.3657759926427,4969.348251592398
2019-08-16,2925.8141860467977,1158.474779756315,4818.7133369726025
2019-08-17,3863.7503139600717,2032.1850385734288,5760.667367463351
2019-08-18,3242.933936738124,1316.9039087067051,5141.2541695958835
2019-08-19,2696.4238426721904,803.7596992621292,4649.833129272811
2019-08-20,3489.5456016965645,1593.7263901902952,5331.774321151253
